word_def(word = inadequate, part = adj., def = not sufficient to meet a need)
word_def(word = incentive, part = noun, def = a positive motivational influence)
word_def(word = incidence, part = noun, def = the relative frequency of occurrence of something)
word_def(word = incident, part = noun, def = a public disturbance)
word_def(word = inclined, part = adj., def = at an angle to the horizontal or vertical position)
word_def(word = incompetence, part = noun, def = lack of physical or intellectual ability or qualifications)
word_def(word = inconsistent, part = adj., def = displaying a lack of consistency)
word_def(word = inconvenient, part = adj., def = not suited to your comfort, purpose or needs)
word_def(word = indicator, part = noun, def = a device for showing the operating condition of some system)
word_def(word = indifferent, part = adj., def = showing no care or concern in attitude or action)
word_def(word = indigenous, part = adj., def = originating where it is found)
word_def(word = indulge, part = verb, def = enjoy to excess)
word_def(word = inefficient, part = adj., def = not producing desired results; wasteful)
word_def(word = inept, part = adj., def = generally incompetent and ineffectual)
word_def(word = inevitable, part = adj., def = incapable of being avoided or prevented)
word_def(word = inexpensive, part = adj., def = relatively low in price or charging low prices)
word_def(word = infamous, part = adj., def = known widely and usually unfavorably)
word_def(word = infinite, part = adj., def = having no limits or boundaries in time or space or extent or magnitude)
word_def(word = influence, part = noun, def = a power to affect persons or events especially power based on prestige etc)
word_def(word = influential, part = adj., def = having or exercising influence or power)
word_def(word = influx, part = noun, def = the process of flowing in)
word_def(word = ingenious, part = adj., def = showing inventiveness and skill)
word_def(word = inherent, part = adj., def = in the nature of something though not readily apparent)
word_def(word = injunction, part = noun, def = (law) a judicial remedy issued in order to prohibit a party from doing or continuing to do a certain activity)
word_def(word = insight, part = noun, def = the clear (and often sudden) understanding of a complex situation)
word_def(word = insistence, part = noun, def = the state of demanding notice or attention)
word_def(word = inspector, part = noun, def = a high ranking police officer)
word_def(word = instance, part = noun, def = an occurrence of something)
word_def(word = instant, part = noun, def = a very short time)
word_def(word = insufficient, part = adj., def = of a quantity not able to fulfill a need or requirement)
word_def(word = integral, part = adj., def = essential to completeness; lacking nothing)
word_def(word = integrity, part = noun, def = moral soundness)
word_def(word = intellectual, part = adj., def = appealing to or using the intellect)
word_def(word = intelligence, part = noun, def = the ability to comprehend; to understand and profit from experience)
word_def(word = intensive, part = adj., def = characterized by a high degree or intensity; often used as a combining form)
word_def(word = intention, part = noun, def = an act of intending; a volition that you intend to carry out)
word_def(word = interact, part = verb, def = act together or towards others or with others)
word_def(word = interim, part = noun, def = the time between one event, process, or period and another)
word_def(word = intermediate, part = adj., def = lying between two extremes in time or space or state)
word_def(word = intervene, part = verb, def = get involved, so as to alter or hinder an action, or through force or threat of force)
word_def(word = intervention, part = noun, def = the act of intervening (as to mediate a dispute, etc.))
word_def(word = intimacy, part = noun, def = close or warm friendship)
word_def(word = intricate, part = adj., def = having many complexly arranged elements; elaborate)
word_def(word = invasion, part = noun, def = any entry into an area not previously occupied)
word_def(word = inventive, part = adj., def = (used of persons or artifacts) marked by independence and creativity in thought or action)
word_def(word = investigator, part = noun, def = a police officer who investigates crimes)
word_def(word = investor, part = noun, def = someone who commits capital in order to gain financial returns)
word_def(word = invincible, part = adj., def = incapable of being overcome or subdued)
word_def(word = invoke, part = verb, def = cite as an authority; resort to)
word_def(word = involuntary, part = adj., def = not subject to the control of the will)
word_def(word = involve, part = verb, def = engage as a participant)
